JobTitle,JobSubCategories,Clean_Job_title
ERP Architecture Lead,tech.89.90,ERP Architecture Lead
"Postdoc (3 years): Systems analysis of scaling wood construction 100%, Zurich, fixed-term",admin.20.24,Postdoc years Systems analysis of scaling wood construction Zurich fixedterm
IT-Architect (System / Software) 100%,tech.53.60,ITArchitect System Software 
Professional Cloud Software Developer 80-100% (w/m),tech.53.2027,Professional Cloud Software Developer 
(Senior) ICT Architekt/in (m/w),tech.53.57,Senior ICT Architekt 
IT Architekt (all genders),tech.53.57,IT Architekt all genders
"Gastrosecurity / Türsteher Teilzeit (Region St. Gallen / Ostschweiz, Stundenlohn)",service.140.141,Gastrosecurity Türsteher Teilzeit Region St Gallen Ostschweiz Stundenlohn
"Gastrosecurity / Türsteher Teilzeit (Schaffhausen / Winterthur, Stundenlohn)",service.140.141,Gastrosecurity Türsteher Teilzeit Schaffhausen Winterthur Stundenlohn
Forstwart/Landschaftsgärtner als Mitarbeiter Grünpflege (w/m),tech.89.92,ForstwartLandschaftsgärtner als Mitarbeiter Grünpflege 
Sicherheitsmitarbeiter im Objektschutz 100% (m/w/d),service.140.141,Sicherheitsmitarbeiter im Objektschutz 
Sicherheitsmitarbeiter für den Revier- und Interventionsdienst 100% (m/w/d),service.140.141,Sicherheitsmitarbeiter für den Revier und Interventionsdienst 
Mitarbeiter/in Sicherheitsdienst (Migrationskontext Glaubenberg) Nachtdienst,service.140.141,Mitarbeiter Sicherheitsdienst Migrationskontext Glaubenberg Nachtdienst
Sicherheitsmitarbeiter/in für Baustellenbewachungen (50 - 90%),service.140.141,Sicherheitsmitarbeiter für Baustellenbewachungen 
Sicherheitsdienstmitarbeiter/innen Busbegleitung Teilzeit Aargau,service.140.141,Sicherheitsdienstmitarbeiternen Busbegleitung Teilzeit Aargau
Sicherheitsdienstmitarbeiter/innen Busbegleitung Uznach (Teilzeit),service.140.141,Sicherheitsdienstmitarbeiternen Busbegleitung Uznach Teilzeit
Mitarbeiter/in Objektschutz im Stundenlohn ZH/AG,service.140.141,Mitarbeiter Objektschutz im Stundenlohn ZHAG
MitarbeiterIn Security 100%,service.140.141,MitarbeiterIn Security 
IT Business Platform Owner (m/w) 100%,admin.2.154,IT Business Platform Owner 
Mitarbeiter/in Sicherheit 100%,service.140.141,Mitarbeiter Sicherheit 
Hôte / Hôtesse d'accueil,admin.2.3,Hôte Hôtesse daccueil
Mitarbeiter/in Ordnungsdienst öffentlicher Verkehr Teilzeit ZH,service.140.141,Mitarbeiter Ordnungsdienst öffentlicher Verkehr Teilzeit ZH
Leiter Kompetenzzentrum Netzwerke 80 - 100% (m/w),tech.53.57,Leiter Kompetenzzentrum Netzwerke 
Agent de sécurité,service.140.141,Agent de sécurité
Tiefbauzeichner/-in EFZ,tech.89.90,Tiefbauzeichnerin EFZ
Industrial Technician (f/m/d) 80-100%,tech.81.76,Industrial Technician 
Mechanical Engineer,tech.81.85,Mechanical Engineer
Vollzeitanstellung als Servicetechniker Sanitär (m/w) - 100%,tech.72.151,Vollzeitanstellung als Servicetechniker Sanitär 
> Servicetechniker:in für Holzfeuerungen in St. Gallen,tech.72.151, Servicetechniker für Holzfeuerungen in St Gallen
> Servicetechniker:in für Holzfeuerungen,tech.72.151, Servicetechniker für Holzfeuerungen
BeraterIn berufliche Integration,admin.2.5,BeraterIn berufliche Integration
Metrology technician,tech.72.75,Metrology technician
Zeichner:in / Konstrukteur:in EFZ Bahnbau,tech.89.90,Zeichner Konstrukteur EFZ Bahnbau
Zeichner/in EFZ (Architektur oder Ingenieurbau),tech.89.90,Zeichner EFZ Architektur oder Ingenieurbau
LEHRSTELLE ALS ZEICHNER/-IN EFZ FACHRICHTUNG INGENIEURBAU,tech.81.84,LEHRSTELLE ALS ZEICHNERIN EFZ FACHRICHTUNG INGENIEURBAU
Planer*in / Zeichner*in / NIS Spezialist*in 80% bis 100%,tech.89.90,Planer Zeichner NIS Spezialist bis 
CAD Zeichner (m/w),tech.89.90,CAD Zeichner 
Konstrukteur Rhino (m|w|d) 80 - 100%,tech.81.84,Konstrukteur Rhino mwd 
Dessinateur en bâtiment (H/F) à 100 %,tech.89.90,Dessinateur en bâtiment HF à 
Zeichner/in EFZ (Architektur oder Ingenieurbau),tech.81.85,Zeichner EFZ Architektur oder Ingenieurbau
Zeichner/in Fachrichtung Architektur 80%-100%,tech.89.90,Zeichner Fachrichtung Architektur 
ARCHITEKTIN/ARCHITEKTEN oder ZEICHNER/IN FACHRICHTUNG ARCHITEKTUR,tech.89.90,ARCHITEKTINARCHITEKTEN oder ZEICHNERIN FACHRICHTUNG ARCHITEKTUR
Projektleiter Konstrukteur 100%,tech.81.84,Projektleiter Konstrukteur 
Konstrukteur 3D CAD (m/w/d),tech.81.84,Konstrukteur D CAD 
Elektrokonstrukteur/in,tech.72.79,Elektrokonstrukteur
Konstrukteur / Bauzeichner 80 - 100%,tech.89.90,Konstrukteur Bauzeichner 
Konstrukteur bzw. technischer Zeichner im Behälter- und Apparatebau,tech.81.84,Konstrukteur bzw technischer Zeichner im Behälter und Apparatebau
KONSTRUKTEUR MASCHINENBAU (W/M),tech.81.84,KONSTRUKTEUR MASCHINENBAU WM
Bauingenieur:in ETH/FH,tech.89.93,Bauingenieur ETHFH
"Zeichner/in EFZ im konstruktiven Ingenieurbau, Stahlbeton Hochbau",tech.89.90,Zeichner EFZ im konstruktiven Ingenieurbau Stahlbeton Hochbau
Lehre zum Strassentransportfachfrau/mann EFZ (Start ab Sommer 2023),admin.35.38,Lehre zum Strassentransportfachfraumann EFZ Start ab Sommer 
Geomatiker / Geomatiktechniker / Vermesser (m/w/d),tech.89.90,Geomatiker Geomatiktechniker Vermesser 
Moderator im Taglohn(m/w),admin.2.6,Moderator im Taglohn
Moderator im Taglohn(m/w),admin.2.6,Moderator im Taglohn
Moderator im Taglohn(m/w),admin.2.6,Moderator im Taglohn
Moderator im Taglohn(m/w),admin.2.6,Moderator im Taglohn
Lehre zum Strassentransportfachfrau/mann EFZ (Start ab Sommer 2023),admin.35.38,Lehre zum Strassentransportfachfraumann EFZ Start ab Sommer 
E-Bike Experte 80-100% (m/w/d),admin.45.47,EBike Experte 
LEHRSTELLE DETAILHANDELSFACHMANN-/FRAU EFZ,admin.45.47,LEHRSTELLE DETAILHANDELSFACHMANNFRAU EFZ
Mitarbeiter Verkauf (m/w/d) 50%,admin.45.47,Mitarbeiter Verkauf 
Sachbearbeiter Seefracht Export (M/W/D),admin.35.39,Sachbearbeiter Seefracht Export 
Sachbearbeiter Seefracht Import (m/w/d),admin.35.39,Sachbearbeiter Seefracht Import 
Mitarbeiter Verkauf und Innendienst im Autogewerbe (m/w/d),admin.45.49,Mitarbeiter Verkauf und Innendienst im Autogewerbe 
Verkaufspersönlichkeit D/E 100% (Hotelfachkraft),admin.45.47,Verkaufspersönlichkeit DE Hotelfachkraft
Detailhandelsfachfrau (m/w/d),admin.45.47,Detailhandelsfachfrau 
Detailhandelsfachfrau / Detailhandelsfachmann EFZ «Gestalten von Einkaufserlebnissen»,admin.45.47,Detailhandelsfachfrau Detailhandelsfachmann EFZ «Gestalten von Einkaufserlebnissen»
Verkäufer/-in TopShop Oberkirch (m/w/d),admin.45.47,Verkäuferin TopShop Oberkirch 
Sachbearbeiter Seefracht (M/W/D),admin.35.39,Sachbearbeiter Seefracht 
Gestionnaire du commerce de détail CFC «Conception et réalisation d'expériences d'achat»,admin.45.47,Gestionnaire du commerce de détail CFC «Conception et réalisation dexpériences dachat»
Detailhandelsfachfrau (m/w/d),admin.45.47,Detailhandelsfachfrau 
"Verkaufsberater (Teilzeit / 20-40%, m/w/d) - Bern SBB",admin.45.48,Verkaufsberater Teilzeit Bern SBB
"Verkaufsberater (Teilzeit / 20-40%, m/w/d) - Bern SBB",admin.45.48,Verkaufsberater Teilzeit Bern SBB
Verkaufsmitarbeiter*innen 40 - 60 %,admin.45.48,Verkaufsmitarbeiternen 
Lehrstelle Detailhandelsfachmann-/frau EFZ,admin.45.47,Lehrstelle Detailhandelsfachmannfrau EFZ
"Verkaufsberater (Teilzeit / 20-40%, m/w/d) - Bern SBB",admin.45.48,Verkaufsberater Teilzeit Bern SBB
SACHBEARBEITER (m/w/d) SEEFRACHT IMPORT,admin.35.39,SACHBEARBEITER SEEFRACHT IMPORT
SACHBEARBEITER (m/w/d) SEEFRACHT,admin.35.39,SACHBEARBEITER SEEFRACHT
SACHBEARBEITER (m/w/d) SEEFRACHT EXPORT,admin.35.39,SACHBEARBEITER SEEFRACHT EXPORT
Apprenti*e gestionnaire du commerce de détail CFC 100% en août 2023,admin.45.47,Apprentie gestionnaire du commerce de détail CFC en août 
Projektleiter/in,admin.20.150,Projektleiter
Mitarbeiter Verkauf und Innendienst im Autogewerbe (m/w/d),admin.45.48,Mitarbeiter Verkauf und Innendienst im Autogewerbe 
"Pflegefachperson HF, Fachperson Langzeitpflege oder FAGE für das Haus Dreilinden",service.111.115,Pflegefachperson HF Fachperson Langzeitpflege oder FAGE für das Haus Dreilinden
Fachfrau/-mann Gesundheit 30-40% im Stundenlohn,service.111.116,Fachfraumann Gesundheit im Stundenlohn
Fachfrau:mann Gesundheit,service.111.115,Fachfraumann Gesundheit
Fachperson Gesundheit EFZ 80-100%,service.111.115,Fachperson Gesundheit EFZ 
Fachperson Gesundheit 90-100% (m/w) für die ambulante Rehabilitation,service.111.115,Fachperson Gesundheit für die ambulante Rehabilitation
"Pflegefachperson (FaGe, Dipl. Pflegefachfrau/-mann) Operationstechnik befristet",service.111.115,Pflegefachperson FaGe Dipl Pflegefachfraumann Operationstechnik befristet
"Pflegehilfe SRK (w/m), private Pflege, Region Muri, Kanton Aargau",service.111.115,Pflegehilfe SRK private Pflege Region Muri Kanton Aargau
Un-e Assistant-e en soins et santé communautaire à 80%,service.111.115,Une Assistante en soins et santé communautaire à 
Zeit für mehr Freude und Abwechslung! Gesucht Fachperson Gesundheit 60-100%,service.111.116,Zeit für mehr Freude und Abwechslung Gesucht Fachperson Gesundheit 
Fachkraft telemed. 50-100%,admin.45.50,Fachkraft telemed 
Sie lieben Flexibilität und Vielfältigkeit? Wir suchen Pflegepersonal für temporäre Einsätze 60-100%,service.111.115,Sie lieben Flexibilität und Vielfältigkeit Wir suchen Pflegepersonal für temporäre Einsätze 
Fachangestellte Gesundheit EFZ (FaGe),service.111.115,Fachangestellte Gesundheit EFZ FaGe
Fachangestellte Gesundheit EFZ (FaGe),service.111.115,Fachangestellte Gesundheit EFZ FaGe
"Fachperson Gesundheit EFZ, 60-100 %",service.111.115,Fachperson Gesundheit EFZ 
Qualitätsverantwortliche*r 80-100%,admin.2.2023,Qualitätsverantwortlicher 
Pflegefachperson im Nachtdienst 50-80%,service.111.115,Pflegefachperson im Nachtdienst 
Un apprenti ASSC pour la rentrée 2023,service.111.115,Un apprenti ASSC pour la rentrée 
Diplomierte Pflegefachfrau/-mann HF 60 - 80% mit Fachverantwortung,service.111.115,Diplomierte Pflegefachfraumann HF mit Fachverantwortung
Fachperson Diagnostik Schlaflabor und Pflege 80-100% (w/m/d),service.111.115,Fachperson Diagnostik Schlaflabor und Pflege 
HR-Fachperson 80-100%,admin.2.4,HRFachperson 
Dipl. Pflegefachfrau / Pflegefachmann FH/HF 50%-100%,service.111.115,Dipl Pflegefachfrau Pflegefachmann FHHF 
"Pflegefachfrau/-mann, 40 - 100%, für unsere Pflegewohnung (ohne Nachtwache, fixe Tage möglich)",service.111.115,Pflegefachfraumann für unsere Pflegewohnung ohne Nachtwache fixe Tage möglich
Stv. Leitung Pflege & Betreuung 70 - 100% (m/w),service.111.115,Stv Leitung Pflege Betreuung 
Fachfrau/Mann Gesundheit oder Mitarbeiter/in EEG-Labor(80%-100%),tech.66.70,FachfrauMann Gesundheit oder Mitarbeiter EEGLabor
"Pflegefachfrau/-mann als Mitarbeiter/-in im Bereich Bildung, 80-100%",service.111.115,Pflegefachfraumann als Mitarbeiterin im Bereich Bildung 
Spätdienste als Dipl. Pflegefachperson oder Fachperson Gesundheit | Pensum nach Vereinbarung,service.111.115,Spätdienste als Dipl Pflegefachperson oder Fachperson Gesundheit Pensum nach Vereinbarung
Fachfrau / Fachmann Gesundheit EFZ 100% und 50%,service.111.115,Fachfrau Fachmann Gesundheit EFZ und 
Fachfrau / Fachmann Gesundheit auf interdisziplinärer Halbprivat / Privatstation 60-100%,service.111.115,Fachfrau Fachmann Gesundheit auf interdisziplinärer Halbprivat Privatstation 
Fachperson Gesundheit 90-100% (m/w) für die ambulante Rehabilitation,service.111.115,Fachperson Gesundheit für die ambulante Rehabilitation
Dipl. Pflegefachfrau / Dipl. Pflegefachmann HF/FH oder Fachfrau / Fachmann Gesundheit Akutstation Bipolare Störungen 40-100%,service.111.115,Dipl Pflegefachfrau Dipl Pflegefachmann HFFH oder Fachfrau Fachmann Gesundheit Akutstation Bipolare Störungen 
Zentrum,service.111.116,Zentrum
Fachfrau/-mann Gesundheit A2 Süd 80-100 %,service.111.115,Fachfraumann Gesundheit A Süd 
WiedereinsteigerIn Pflege - Pensum frei wählbar,service.111.115,WiedereinsteigerIn Pflege Pensum frei wählbar
 Lehrstelle Fachfrau / Fachmann Gesundheit EFZ,service.111.115,Lehrstelle Fachfrau Fachmann Gesundheit EFZ
Fachfrau / Fachmann Gesundheit EFZ,service.111.115,Fachfrau Fachmann Gesundheit EFZ
Fachperson Gesundheit EFZ 80-100%,service.111.115,Fachperson Gesundheit EFZ 
Lerndene Fachperson Gesundheit EFZ,service.111.115,Lerndene Fachperson Gesundheit EFZ
"Fachfrau*Fachmann Gesundheit EFZ, 70 - 80 %",service.111.115,FachfrauFachmann Gesundheit EFZ 
Springer*in (FaGe) 40-90%,service.111.115,Springer FaGe 
Fachperson Gesundheit EFZ (Demenz) 40-80%,service.111.115,Fachperson Gesundheit EFZ Demenz 
"Fachperson Gesundheit Europaallee, 80-100 %",service.111.115,Fachperson Gesundheit Europaallee 
Fachfrau / Fachmann Gesundheit (FaGe) EFZ 50-100%,service.111.115,Fachfrau Fachmann Gesundheit FaGe EFZ 
"Fachfrau / Fachmann Gesundheit, 80-100 %",service.111.115,Fachfrau Fachmann Gesundheit 
Lehrstelle Fachfrau / Fachmann Gesundheit FaGe EFZ,service.111.115,Lehrstelle Fachfrau Fachmann Gesundheit FaGe EFZ
Dauernachtwache 50-60% (Fachperson Gesundheit mit Nachtwachenerfahrung),service.111.115,Dauernachtwache Fachperson Gesundheit mit Nachtwachenerfahrung
Fachfrau Gesundheit oder Betreuung 60-80%,service.111.115,Fachfrau Gesundheit oder Betreuung 
"Fachperson Gesundheit EFZ (m/w/d, 50-100%)",service.111.115,Fachperson Gesundheit EFZ 
Lehrstelle als Fachfrau/Fachmann Gesundheit EFZ,service.111.115,Lehrstelle als FachfrauFachmann Gesundheit EFZ
Fachperson Gesundheit EFZ 80-100% mit Teilpensum Planung,service.111.115,Fachperson Gesundheit EFZ mit Teilpensum Planung
FAGE & Lernbegleitung,service.111.115,FAGE Lernbegleitung
Fachperson Gesundheit (FaGe) / Pflegeassistenz SRK für das Altersheim Allmend,service.111.115,Fachperson Gesundheit FaGe Pflegeassistenz SRK für das Altersheim Allmend
Lehrstelle als Fachfrau/Fachmann Gesundheit EFZ (Sommer 2023),service.111.115,Lehrstelle als FachfrauFachmann Gesundheit EFZ Sommer 
MPA oder FaGe als Notfallkoordinatorin (m/w) 40-80%,service.111.113,MPA oder FaGe als Notfallkoordinatorin 
Fachangestellte/r Gesundheit 80-100%,service.111.115,Fachangestellter Gesundheit 
Dipl. Pflegefachfrau/-mann und Berufsbildner:in 90-100%,service.111.115,Dipl Pflegefachfraumann und Berufsbildner 
Pflegefachfrau HF / Pflegefachmann HF vorwiegend Nachtdienst,service.111.115,Pflegefachfrau HF Pflegefachmann HF vorwiegend Nachtdienst
Fachperson Gesundheit EFZ 40-100%,service.111.115,Fachperson Gesundheit EFZ 
Dipl. Pflegefachperson oder Fachperson Gesundheit für den Nachtdienst (80 - 100 %),service.111.115,Dipl Pflegefachperson oder Fachperson Gesundheit für den Nachtdienst 
"Fachpersonen Betreuung und Pflege im Springerpool (HF, Langzeitpflege, FAGE) oder Pflegehelfer/in SRK",service.111.115,Fachpersonen Betreuung und Pflege im Springerpool HF Langzeitpflege FAGE oder Pflegehelfer SRK
Dipl. Pflegefachperson HF / FH (w/m) oder Fachperson Gesundheit - für unseren Pflegepool ab 20% im Stundenlohn,service.111.115,Dipl Pflegefachperson HF FH oder Fachperson Gesundheit für unseren Pflegepool ab im Stundenlohn
Fachfrau/-mann Gesundheit (FaGe) (70%) / Assistant-e en soins et santé communautaire (ASSC) (70%) Temps partiel,service.111.115,Fachfraumann Gesundheit FaGe Assistante en soins et santé communautaire ASSC Temps partiel
Fachfrau / -mann Gesundheit EFZ 50% oder 80%,service.111.115,Fachfrau mann Gesundheit EFZ oder 
Fachfrau/-mann Gesundheit 80-100%,service.111.115,Fachfraumann Gesundheit 
Fachfrau/-mann Gesundheit 50-100%,service.111.115,Fachfraumann Gesundheit 
Fachfrau-/mann Betreuung Kinder 80-100% Kita Habsburgerstrasse,service.120.125,Fachfraumann Betreuung Kinder Kita Habsburgerstrasse
Betreuungsperson Mittagstisch,service.120.125,Betreuungsperson Mittagstisch
Stabsmitarbeiter*in Coaching und Bildung,service.120.121,Stabsmitarbeiter Coaching und Bildung
Stabsmitarbeiterin / Stabsmitarbeiter mit Projekt- und Dossier-Verantwortung 80-100%,admin.2.7,Stabsmitarbeiterin Stabsmitarbeiter mit Projekt und DossierVerantwortung 
Betreuungsperson (w/m/d) schulergänzende Betreuung Grünmatt (12 %),service.111.116,Betreuungsperson schulergänzende Betreuung Grünmatt 
Betreuungsperson (m/w/d) schulergänzende Betreuung Guggenbühl (49 %),service.111.116,Betreuungsperson schulergänzende Betreuung Guggenbühl 
Fachfrau/-mann Betreuung Kinder 80-100% Kita Neumatten,service.120.125,Fachfraumann Betreuung Kinder Kita Neumatten
Fachfrau/-mann Betreuung Kinder 90% Kita Riehenring,service.120.125,Fachfraumann Betreuung Kinder Kita Riehenring
Fachfrau-/mann Betreuung Kinder 80-100% Kita Habsburgerstrasse,service.120.125,Fachfraumann Betreuung Kinder Kita Habsburgerstrasse
Fachfrau/mann Gesundheit EFZ (Sommer 2023) Fachfrau/mann Betreuung EFZ (Sommer 2023) Assistent/in Gesundheit und Soziales EBA (Sommer 2023) Studierende/r HF Fachfrau/mann Hauswirtschaft EFZ Fachfrau/mann Betriebsunterhalt,admin.2.3,Fachfraumann Gesundheit EFZ Sommer Fachfraumann Betreuung EFZ Sommer Assistent Gesundheit und Soziales EBA Sommer Studierender HF Fachfraumann Hauswirtschaft EFZ Fachfraumann Betriebsunterhalt
Fachperson Betreuung EFZ 30-50%,service.111.116,Fachperson Betreuung EFZ 
"Fachperson Betreuung EFZ in der Schulergänzenden Betreuung, 60%",service.111.116,Fachperson Betreuung EFZ in der Schulergänzenden Betreuung 
Lehrstelle als Fachfrau /Fachmann Betreuung EFZ 2023 (Kinder),service.111.116,Lehrstelle als Fachfrau Fachmann Betreuung EFZ Kinder
Fachperson Betreuung oder Gesundheit 60-80 % (Wiedereinsteiger/innen sind ebenfalls willkommen),service.111.116,Fachperson Betreuung oder Gesundheit Wiedereinsteigernen sind ebenfalls willkommen
Fachfrau-/mann Gesundheit 60-100%,service.111.115,Fachfraumann Gesundheit 
Fachfrau/mann Gesundheit EFZ (Sommer 2023) Fachfrau/mann Betreuung EFZ (Sommer 2023) Assistent/in Gesundheit und Soziales EBA (Sommer 2023) Studierende/r HF Fachfrau/mann Hauswirtschaft EFZ Fachfrau/mann Betriebsunterhalt,admin.2.3,Fachfraumann Gesundheit EFZ Sommer Fachfraumann Betreuung EFZ Sommer Assistent Gesundheit und Soziales EBA Sommer Studierender HF Fachfraumann Hauswirtschaft EFZ Fachfraumann Betriebsunterhalt
Pädagogische Fachperson (45%),service.120.123,Pädagogische Fachperson 
"Fachfrau / Fachmann Gesundheit (FAGE), Onkologie 80-100%",service.111.115,Fachfrau Fachmann Gesundheit FAGE Onkologie 
Dipl. Pflegefachperson HF/FH / Fachangestellte Gesundheit EFZ / Pflegehelferin SRK in unserem Flex-Team,service.111.115,Dipl Pflegefachperson HFFH Fachangestellte Gesundheit EFZ Pflegehelferin SRK in unserem FlexTeam
Fachperson Betreuung 20-25%,service.111.116,Fachperson Betreuung 
Fachfrau / Fachmann Betreuung EFZ,service.111.116,Fachfrau Fachmann Betreuung EFZ
Fachfrau/Fachmann Betreuung als Ferienablösung/Springer/-in,service.111.116,FachfrauFachmann Betreuung als FerienablösungSpringerin
Pflegehelfer/-in SRK oder Fachperson Betreuung im TagesTreff,service.111.116,Pflegehelferin SRK oder Fachperson Betreuung im TagesTreff
Fachangestellte Betreuung (80% - 100%),service.111.116,Fachangestellte Betreuung 
Fachangestellte Betreuung (80% - 100%),service.111.116,Fachangestellte Betreuung 
Fachangestellte Gesundheit EFZ (FaGe) Pensum: 50% - 70%,service.111.115,Fachangestellte Gesundheit EFZ FaGe Pensum 
Betreuungsperson Mittagstisch,service.120.125,Betreuungsperson Mittagstisch
Fachangestellte/r Gesundheit,service.111.115,Fachangestellter Gesundheit
Ausbildung zu Fachfrau / Fachmann Betreuung EFZ,service.111.116,Ausbildung zu Fachfrau Fachmann Betreuung EFZ
"Fachperson Gesundheit EFZ, DN1, FASRK, Altenpfleger/in mit Anerkennung 50-80%",service.111.115,Fachperson Gesundheit EFZ DN FASRK Altenpfleger mit Anerkennung 
Lehrstelle Fachfrau Betreuung EFZ - Fachrichtung Kind Kindertagesstätte,service.111.116,Lehrstelle Fachfrau Betreuung EFZ Fachrichtung Kind Kindertagesstätte
Dipl. Pflegefachpersonen HF mit Schwerpunkt Psychiatrie oder PsyKP 40 - 60%,service.111.115,Dipl Pflegefachpersonen HF mit Schwerpunkt Psychiatrie oder PsyKP 
Als fallführende Pflegefachfrau Psychiatrie Arbeitszeiten selbst gestalten? (m/w 20-50%),service.111.117,Als fallführende Pflegefachfrau Psychiatrie Arbeitszeiten selbst gestalten 
Ab 1. Februar 2023: Sozialpädagogin / Sozialpädagoge HF/FH oder Psychiatriefachperson HF/FH 80 %,service.111.117,Ab Februar Sozialpädagogin Sozialpädagoge HFFH oder Psychiatriefachperson HFFH 
Pflegefachfrau 70-80 %,service.111.115,Pflegefachfrau 
"Pflegefachperson Psychiatrie, 50-80%",service.111.117,Pflegefachperson Psychiatrie 
Region Biel: Stv. Pflegedienstleitung 80%,service.111.115,Region Biel Stv Pflegedienstleitung 
Pflegefachfrau/-mann HF 80-100%,service.111.115,Pflegefachfraumann HF 
Pflegefachperson 50-80%,service.111.115,Pflegefachperson 
Pflegefachperson HF/FH/DNII mit Schwerpunkt Psychiatrie 40% bis 80%,service.111.115,Pflegefachperson HFFHDNII mit Schwerpunkt Psychiatrie bis 
Contract Knowledge Specialist (80-100%),tech.53.55,Contract Knowledge Specialist 
Anwaltsassistent-/in (60%) für unser Arbeitsrecht Team,admin.2.3,Anwaltsassistent für unser Arbeitsrecht Team
"Consultancy - Giga, User Interface Design Specialist, Home-based, Office of Innovation, 11.5 months",tech.53.157,Consultancy Giga User Interface Design Specialist Homebased Office of Innovation months
Senior Market Solutions Manager - Research & Development Solutions,tech.53.54,Senior Market Solutions Manager Research Development Solutions
"Consultancy - Giga, Technical Content Creator, Home-based, Office of Innovation, 11.5 months",admin.40.44,Consultancy Giga Technical Content Creator Homebased Office of Innovation months
"Consultancy - Product Manager, Home-based, Office of Innovation, 11.5 months",admin.40.36,Consultancy Product Manager Homebased Office of Innovation months
Anlage_Apparatebauer Metallbauer 2022,tech.81.82,AnlageApparatebauer Metallbauer 
"Mitarbeiter/in Werkdienste, 100 %",service.120.121,Mitarbeiter Werkdienste 
Polisseur Complet (h/f),tech.72.75,Polisseur Complet hf
Polisseurs (H/F/X),tech.72.75,Polisseurs HFX
Strassenwart/-in in Davos,tech.89.94,Strassenwartin in Davos
Leiter Facility Management (m/w/d),tech.101.19,Leiter Facility Management 
Facility Manager/-in,tech.101.19,Facility Managerin
Technischer Hauswart (m/w),tech.101.19,Technischer Hauswart 
Facility Manager*in 100% (w/m/d),tech.66.69,Facility Manager 
Régleur CNC (H/F),tech.81.76,Régleur CNC HF
Mandatsleiter/in im Facility Management (m/w/d),tech.101.107,Mandatsleiter im Facility Management 
CNC-Operator,tech.81.76,CNCOperator
Opérateur/trice Régleur sur presse H/F - 100%,tech.81.76,Opérateurtrice Régleur sur presse HF 
Opérateur CNC 5axes,tech.81.76,Opérateur CNC axes
Manufacturing Specialist Bioconjugates PCP,tech.81.86,Manufacturing Specialist Bioconjugates PCP
Facharbeiter*in Produktion 100%,tech.81.86,Facharbeiter Produktion 
Facharbeiter Kunststoffe (a),tech.81.86,Facharbeiter Kunststoffe a
Teamleiter Produktion (m/w/d),tech.81.86,Teamleiter Produktion 
Teamleiter Produktion Abteilung Druckfedern,tech.81.86,Teamleiter Produktion Abteilung Druckfedern
Fachmitarbeiter Dessertpreussenlinie (m/w/d),service.126.131,Fachmitarbeiter Dessertpreussenlinie 
Produktionsexperte mit technischer Ausbildung,tech.66.70,Produktionsexperte mit technischer Ausbildung
Produktionsexperte mit technischer Ausbildung 100% (m/w/d),tech.66.70,Produktionsexperte mit technischer Ausbildung 
Teamleiter Produktion Abteilung Druckfedern,tech.81.86,Teamleiter Produktion Abteilung Druckfedern
Facharbeiter Montage (w/m/d) 100 %,tech.81.86,Facharbeiter Montage 
Kundendienst AVOR (m/w/d),tech.81.85,Kundendienst AVOR 
Systemtechniker Mercedes Benz für E-LKW 80-100% (m/w/d),tech.81.86,Systemtechniker Mercedes Benz für ELKW 
Profis für die Produktion von E-LKW’s 80-100% (m/w/d),tech.81.76,Profis für die Produktion von ELKW’s 
Teamleiter Produktion 100% (m/w),tech.72.73,Teamleiter Produktion 
Fachärztin / Facharzt für Allgemeine Innere Medizin (50-80%),service.111.1283,Fachärztin Facharzt für Allgemeine Innere Medizin 
Planificateur-trice 100%,admin.2.155,Planificateurtrice 
Servicemonteur / Metallbauer EFZ 100%,tech.101.104,Servicemonteur Metallbauer EFZ 
Metallbauschlosser für Montage und Werkstatt - Schweizweit !,tech.101.104,Metallbauschlosser für Montage und Werkstatt Schweizweit 
Mechaniker/in 100%,tech.81.82,Mechaniker 
Metallbauer,tech.101.104,Metallbauer
Ärztin/Arzt FMH 50 - 100%,service.111.1283,ÄrztinArzt FMH 
Fachärztin / Facharzt für Allgemeine Innere Medizin (50-80%),service.111.1283,Fachärztin Facharzt für Allgemeine Innere Medizin 
Arzt 80-100% (m/w) (Spitalarzt / Stationsarzt),service.111.1283,Arzt Spitalarzt Stationsarzt
Kantonsärztin-Stellvertreter/in,service.111.1283,KantonsärztinStellvertreter
Kieferorthopädin / Kieferorthopäden,service.111.1283,Kieferorthopädin Kieferorthopäden
Spezialistin Leistungen (m/w/d),admin.20.33,Spezialistin Leistungen 
Assistenzärztin / Assistenzarzt,service.111.1283,Assistenzärztin Assistenzarzt
ARZTSEKRETÄRIN KARDIOLOGIE (M/W/D),service.111.113,ARZTSEKRETÄRIN KARDIOLOGIE 
Mitarbeiter/in Gästeservice (50-60%) in Nebenbeschäftigung,service.126.129,Mitarbeiter Gästeservice in Nebenbeschäftigung
"Lernende:r KV Profil E oder M, Branche: Kranken- und Sozialversicherungen Generalagentur Luzern",admin.20.30,Lernender KV Profil E oder M Branche Kranken und Sozialversicherungen Generalagentur Luzern
"Leistungs- und Gesundheitsberater (w/m/d), 80-100%, Bern",admin.20.31,Leistungs und Gesundheitsberater Bern
"Lernende:r KV Profil E oder M, Branche: Kranken- und Sozialversicherungen Generalagentur Burgdorf",admin.20.30,Lernender KV Profil E oder M Branche Kranken und Sozialversicherungen Generalagentur Burgdorf
